Year,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Cyprus,Czechia,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam
1965,1910.1326,14732.473,35395.805,19524.504,NA,NA,NA,43788.027,2344.7559,13827.843,52795.883,6752.783,2031.9971,4771.0015,NA,NA,47633.9,NA,NA,2808.4556,NA,NA,25036.959,38415.562,NA,NA,18218.738,NA,1125.2927,782.1329,3738.0635,NA,NA,NA,15252.906,16154.099,NA,NA,NA,NA,125983.68,NA,6250.1157,1059.203,33721.65,NA,NA,NA,NA,1460.7875,4010.0356,NA,24766.803,NA,NA,14424.234,NA,47226.984,NA,22977.555,NA,18456.01,NA,NA,NA,NA,NA,4797.8184,NA,NA,NA,NA,28963.09,NA,NA,41668.066,72734.26,NA,19347.014,NA
1966,2281.9224,14975.831,36529.598,20090.03,NA,NA,NA,41934.613,2486.3665,14757.899,54396.625,7133.0444,2157.3733,5224.7505,NA,NA,47890.793,NA,NA,2880.6257,NA,NA,24999.857,38168.24,NA,NA,18403.693,NA,1133.5356,742.3492,3959.8223,NA,NA,NA,16543.135,18340.178,NA,NA,NA,NA,119552.99,NA,6352.682,1475.3057,35679.16,NA,NA,NA,NA,1435.0883,4847.0728,NA,25024.969,NA,NA,15306.275,NA,46068.15,NA,23699.17,NA,18005.387,NA,NA,NA,NA,NA,4994.6714,NA,NA,NA,NA,30381.846,NA,NA,41361.805,76081.81,NA,18897.973,NA
1967,2096.2075,15172.236,38078.816,20070.238,NA,NA,NA,43791.312,2499.5444,17128.357,56342.754,7141.793,1897.1614,5318.5605,NA,NA,47090.625,NA,NA,2368.8137,NA,NA,26836.97,37794.227,NA,NA,17502.984,NA,1134.519,705.97260000000006,4238.672,NA,NA,NA,18121.703,20956.027,NA,NA,NA,NA,116793.195,NA,6219.693,1550.9716,37274.477,NA,NA,NA,NA,1538.0332,4726.98,NA,25540.846,NA,NA,16919.57,NA,44929.094,NA,23853.74,NA,18180.576,NA,NA,NA,NA,NA,5351.3335,NA,NA,NA,NA,31676.914,NA,NA,40959.723,77607.55,NA,19245.68,NA
1968,2174.2285,15420.594,39683.492,21644.559,NA,NA,NA,48609.24,2870.9597,19326.047,59822.87,7197.7266,1856.8943,5325.0776,NA,NA,49186.14,NA,NA,2416.6606,NA,NA,27750.691,40123.46,NA,NA,18092.195,NA,1176.4385,721.0048,4536.7095,NA,NA,NA,19670.863,22847.215,NA,NA,NA,NA,125805.984,NA,6516.4336,1609.6401,41196.31,NA,NA,NA,NA,1690.4989,4638.806,NA,27274.523,NA,NA,17850.654,NA,43806.656,NA,26374.092,NA,18604.604,NA,NA,NA,NA,21869.791,5821.6846,NA,NA,NA,NA,32363.93,NA,NA,42163.05,81524.336,NA,19845.777,NA
1969,2406.913,15718.227,40417.2,23186.455,NA,NA,NA,53172.094,3075.9673,21218.32,61729.375,7569.925,2216.546,5183.4614,NA,NA,51314.95,NA,NA,1811.2345,NA,NA,30376.992,43136.92,NA,NA,19305.426,NA,1271.7704,798.989,4845.474,NA,NA,NA,21364.557,26606.885,NA,NA,NA,NA,135060.73,NA,6954.534,1678.0184,45328.902,NA,NA,NA,NA,1644.8536,4479.9263,NA,28931.902,NA,NA,20254.762,NA,42714.965,NA,27661.455,NA,18579.463,NA,11868.495,NA,NA,23225.402,6150.124,NA,NA,NA,NA,33451.69,NA,NA,43421.816,84571.11,NA,19338.299,NA
1970,2540.161,14625.066,42810.02,25611.236,NA,NA,NA,55943.594,3428.714,23650.936,65222.246,7841.5825,2784.8328,5526.6025,NA,NA,53269.44,NA,NA,2230.0723,NA,NA,32527.93,45185.83,NA,NA,20734.062,NA,1201.8425,820.8075,5578.617,NA,NA,NA,23651.61,30186.27,NA,NA,NA,NA,139754.64,3949.8076,7151.864,1728.0585,50526.875,22920.904,NA,NA,NA,1590.6919,4562.907,NA,30246.518,NA,NA,21272.86,NA,43047.36,NA,30051.303,NA,18839.334,NA,13135.114,NA,NA,25527.518,6632.385,NA,NA,NA,NA,34765.7,NA,NA,44273.38,86555.445,NA,18699.344,NA
1971,2746.7258,15273.733,43400.63,27118.22,NA,188.50717,NA,54719.27,3766.228,24470.732,65542.64,8280.785,3218.5413,5279.92,NA,NA,56040.96,NA,NA,2223.722,NA,NA,33745.254,45635.87,NA,NA,21344.154,NA,1215.635,826.59186,5943.923,NA,NA,NA,24958.193,30989.748,NA,NA,NA,NA,133634.84,4392.222,7355.6255,1772.3291,52675.93,22543.395,NA,NA,NA,1393.2682,4486.7373,NA,31004.543,NA,NA,22103.176,NA,41157.684,NA,32376.389,NA,19698.943,NA,14085.702,NA,NA,26559.764,8244.867,NA,45042.35,NA,NA,36205.543,NA,NA,43233.445,86824.66,NA,18134.252,NA
1972,2990.6433,15226.304,44437.895,27937.443,NA,211.59084,NA,57953.848,4155.645,25071.217,68251.75,8064.4087,3385.7952,5989.312,NA,NA,56145.812,NA,NA,2450.4421,NA,NA,35544.41,47059.188,NA,NA,21967.92,NA,1265.2269,859.40314,6504.7266,NA,NA,NA,26009.44,32857.137,NA,NA,NA,NA,136108.38,4782.5913,7912.351,1876.1157,60582.566,23805.97,NA,NA,NA,1233.1646,3785.7375,NA,32440.975,NA,NA,22645.406,NA,41962.848,NA,33756.926,NA,19687.447,NA,14805.234,NA,NA,26912.842,8562.162,NA,61332.45,NA,NA,37769.867,NA,NA,43658.24,89989.51,NA,18524.922,NA
1973,3450.9258,15483.365,46764.82,29629.223,NA,260.05396,NA,58515.125,4846.895,25758.191,72601.02,7667.4336,3491.169,5549.995,NA,NA,56257.695,NA,NA,2244.9775,NA,NA,38673.355,49634.34,NA,NA,23715.98,NA,1251.0247,940.3789,7672.2925,NA,NA,NA,27299.904,36320.47,NA,NA,NA,NA,143086.86,4949.1387,8285.695,2136.605,63694.59,25098.098,NA,NA,NA,1276.4656,4235.4746,NA,32763.639,NA,NA,24408.629,NA,42461.61,NA,34828.387,NA,20575.9,NA,16762.922,NA,NA,28717.217,9965.174,NA,60049.047,NA,NA,39389.547,NA,NA,45868.734,92635.484,NA,20733.504,NA
1974,3790.4724,15496.195,48821.37,28406.164,NA,274.5525,NA,56344.72,5249.5273,26246.19,72712.95,7348.8003,3517.504,6055.6826,NA,NA,56299.61,NA,NA,2476.934,NA,36323.125,37158.777,48605.73,NA,NA,24337.646,NA,1313.2267,980.9496,8459.184,NA,NA,NA,27054.16,34829.89,NA,NA,NA,NA,144202.52,4927.4478,8902.519,2217.27,59485.777,24188.096,NA,NA,NA,1353.5381,4806.4272,NA,33480.51,NA,NA,24147.434,NA,42674.324,NA,35616.195,NA,20566.533,NA,17161.668,NA,NA,25708.287,9097,NA,57084.58,NA,NA,41090.85,NA,NA,43136.934,88539.28,NA,20532.182,NA
1975,4413.426,14680.416,48845.88,27808.29,NA,268.29678,NA,51002.91,5331.963,28305.281,71514.1,6370.2075,3880.876,5394.577,NA,NA,58243.77,NA,NA,2687.323,NA,37175.73,34319.99,46387.457,NA,NA,25592.28,NA,1361.0215,1178.0784,9602.464,NA,NA,NA,26090.477,33902.86,NA,NA,NA,NA,118992.5,4966.6523,9357.679,2257.1477,59339.93,22975.924,NA,NA,NA,1358.7776,4964.0205,NA,35802.945,NA,NA,25975.502,NA,32068.318,NA,37287.848,NA,21339.768,NA,17840.615,NA,NA,24958.992,9821.525,NA,45389.24,NA,NA,42798.586,NA,NA,40713.414,84425.28,NA,20532.182,NA
1976,4906.0186,15229.682,50269.727,30419.934,NA,306.78494,NA,53266.04,5609.6387,28993.348,73218.414,6517.2065,4028.6663,5493.805,NA,NA,59620.348,NA,NA,3151.5928,NA,41477.363,37233.742,49615.51,NA,NA,27193.51,NA,1394.942,1225.3157,10493.933,NA,NA,NA,27640.72,34846.26,NA,NA,NA,NA,118635.12,5453.084,9614.422,2404.0864,64218.426,25241.035,NA,NA,NA,1328.1552,4904.824,NA,37396.555,NA,NA,27896.516,NA,35193.492,NA,38173.895,NA,21603.027,NA,19463.383,NA,NA,26050.719,12112.258,NA,50400.58,NA,NA,43906.105,NA,NA,41258.832,88517.016,NA,21628.28,NA
1977,5218.6387,15705.629,52457.594,28799.482,NA,309.01828,NA,52652.25,5678.004,30104.299,76170.7,6701.5767,4337.805,5569.271,NA,NA,61100.32,NA,NA,3315.8184,NA,40817.53,36213.98,49016.832,NA,NA,28466.453,NA,1441.1594,1573.1063,11561.291,NA,NA,NA,26999.547,34660.29,NA,NA,NA,NA,109548.14,6299.744,9801.593,2589.9695,62647.734,26798.07,NA,29283.516,NA,1379.5352,4790.5645,NA,38591.484,NA,NA,29167.223,NA,39492.14,NA,39747.22,NA,21544.672,NA,18612.014,NA,NA,26461.64,13151.284,NA,51749.113,NA,NA,45269.934,NA,NA,41918.445,90070.9,NA,23336.117,NA
1978,6387.1426,15132.868,53395.312,30480.502,NA,319.06598,NA,54868.152,6108.459,31395.63,74967.516,6856.991,4715.768,5592.557,NA,NA,61690.785,NA,NA,3391.0808,NA,43714.566,37333.17,50840.336,NA,NA,30345.412,NA,1423.5168,1742.5057,10760.527,NA,NA,NA,27867.664,34536.746,NA,NA,NA,NA,113130.2,8178.973,10960.942,2684.717,63357.105,25452.895,NA,32818.312,NA,1395.2411,4635.2437,NA,40170.03,NA,NA,31100.877,NA,41836.26,NA,41511.633,NA,20769.375,NA,18388.35,NA,NA,27148.125,14809.092,NA,51381.125,NA,NA,46624.58,NA,NA,42309.723,90000.21,NA,23208.76,NA
1979,8129.018,15777.247,54945.082,31684.11,NA,342.5684,NA,56781.164,6364.0054,32417.344,75723.914,7187.755,4779.7705,5607.3154,NA,NA,61938.89,NA,NA,3698.3938,NA,45062.914,37960.01,53599.043,NA,NA,29968.047,NA,1491.562,1937.3462,11343.948,NA,30234.975,NA,28794.363,34402.676,NA,NA,NA,NA,115644.016,9150.047,11760.889,2917.6675,65201.082,23521.635,NA,33376.31,NA,1476.9795,4658.1914,NA,40415.152,NA,NA,31431.432,NA,48217.64,NA,41336.26,NA,20967.865,NA,19515.031,NA,NA,26182.943,15005.893,NA,44745.46,NA,NA,47454.7,NA,NA,44301.227,90246.46,NA,24718.246,NA
1980,9412.426,14997.139,54615.76,31108.865,NA,393.5011,NA,53791.766,6106.2324,34242.625,75759.72,7268.3604,4738.9097,5626.8696,NA,NA,59760.305,NA,NA,4175.6157,NA,44913.95,36178.18,51664.797,NA,NA,30051.14,NA,1503.5442,2037.16,10112.76,NA,28881.453,24722.586,27908.086,32306.521,NA,NA,NA,NA,106278.6,9265.178,12609.442,2860.7783,60650.074,22618.482,NA,32223.732,NA,1590.629,4907.895,NA,41887.176,NA,NA,31388.564,NA,41282.758,NA,40118.15,NA,21821.232,NA,20905.08,NA,NA,26437.58,15621.449,NA,42441.04,NA,NA,47897.688,NA,NA,40201.098,85528.52,NA,27158.336,NA
1981,11064.026,14269.554,54621.477,29116.537,NA,406.14758,NA,50769.47,5748.8203,32796.508,72108.04,7143.3975,4582.6865,5621.8516,NA,NA,59329.09,NA,NA,4697.0366,NA,38653.316,32879.965,49644.86,NA,NA,29781.45,NA,1637.859,2135.4324,9623.314,NA,27868.84,24667.633,27286.145,31413.229,NA,NA,NA,NA,90518.51,9309.122,13382.935,2767.2976,57201.83,22378.785,NA,30650.398,NA,1643.0428,4931.2793,NA,37412.926,NA,NA,31295.102,NA,46940.11,NA,39300.715,NA,24709.723,NA,21209.242,NA,NA,24896.414,13599.18,2940.547,44254.82,NA,NA,48415.734,NA,NA,38910.44,81763.75,NA,27411.127,917.79443
1982,12334.726,14134.874,53433.99,27731.281,NA,441.4735,NA,47609.375,5771.1016,33400.086,69187.89,6253.2964,4693.5454,5591.665,NA,NA,58683.16,NA,NA,5163.4165,NA,36860.363,31073.09,47509.066,19798.186,NA,29986.365,NA,1621.7012,2125.897,10377.374,NA,27501.79,26134.557,26542.271,29704.111,NA,NA,NA,NA,84708.27,9749.091,13768.684,2846.6155,52635.99,24854.201,NA,29638.092,NA,1731.0393,4777.265,NA,37791.883,NA,NA,30998.148,NA,49267.504,NA,38299.793,NA,25971.9,NA,20786.004,NA,NA,23500.383,14857.3,2903.1125,51338.734,6241.361,NA,49272.88,NA,NA,38033.305,76569.86,NA,27123.068,959.1292
1983,13067.901,14335.765,52287.727,27780.078,NA,419.92932,NA,43531.46,5410.9463,33111.406,65822.25,6299.9897,4898.9824,5828.1978,NA,NA,58701.348,37044.58,NA,5528.3604,NA,35273.09,30045.188,48175.17,20067.695,NA,28905.611,NA,1681.7031,2189.4287,11983.219,NA,26943.8,25584.686,25977.295,30154.062,NA,NA,NA,NA,79058.81,10899.81,13422.528,2863.1436,52690.605,24947.436,NA,29609.66,NA,1752.3837,3956.2034,NA,37586.5,NA,NA,30910.947,NA,50909.336,NA,37928.97,NA,25661.047,NA,21036.48,NA,NA,25432.006,15574.105,3152.3425,49489.74,6510.6416,NA,49735.35,NA,NA,37863.07,74998.94,NA,25897.307,999.54517
1984,12099.902,13912.13,53348.023,28851.346,NA,436.09805,NA,44729.492,5446.1562,32851.22,68919.914,6452.7905,5198.792,5607.757,NA,NA,60482.098,37685.594,NA,5929.7046,NA,36872.93,29109.16,49132.043,20602.342,NA,29467.785,NA,1744.3005,2357.793,12554.951,NA,26591.156,25983.723,26307.791,31046.09,NA,NA,NA,NA,85102.38,11116.755,13702.498,2847.3625,54479.19,26662.799,NA,30689.756,NA,1803.9174,4049.9668,NA,38741.47,NA,NA,30425.39,NA,58105.36,NA,40499.81,NA,26938.564,NA,20068.504,NA,NA,25014.328,15424.063,3425.8635,48233.97,6609.044,NA,50670.637,NA,NA,37597.668,78093.99,NA,25396.654,965.8024
1985,11764.669,13332.522,54075.293,29329.434,33531.336,480.29718,40262.098,45055.188,5634.639,32858.79,68964.56,6209.7256,5543.2563,5594.705,NA,NA,60157.984,42477.387,NA,6031.6543,77633.625,39893.465,28874.145,49462.78,21607.02,NA,29834.303,NA,1817.7192,2441.642,13254.686,NA,27686.209,23488.951,26257.266,30905.268,50645.824,NA,36714.54,41556.668,87387.03,10639.337,13966.241,2859.4338,55826.99,27584.857,NA,31951.64,NA,1838.4026,3762.409,NA,39261.203,NA,NA,30068.85,61590.2,56611.3,NA,40179.297,NA,26594.096,NA,19449.037,NA,36922.56,25390.232,15276.678,3545.366,49215.2,7126.671,44071.492,NA,51018.4,NA,38939.875,76872.52,24912.52,25100.29,957.73236
1986,12094.421,13987.672,54300.055,29197.152,35732.816,521.0646,45657.133,45363.75,5924.9023,34019.824,67322.6,6255.9526,5719.7026,5541.8,NA,NA,59747.39,43369.56,NA,6024.124,76745.1,40387.418,28189.99,49154.668,21316.297,NA,29536.457,NA,1912.4451,2529.6487,11907.343,NA,29805.387,24057.135,26941.797,30591.121,50893.465,NA,33682.977,37147.98,84891.53,11342.442,13487.386,2875.5923,58242.156,28910.613,NA,33664.246,NA,1917.3563,3970.8838,NA,40121.08,NA,NA,30907.506,62063.043,58194.637,NA,38527.598,NA,25859.494,14612.759,19573.174,NA,39456.945,27288.55,17095.674,3610.909,50451.8,7675.0728,53374.5,NA,51691.86,NA,40113.516,76362.34,23905.016,26138.219,1023.69305
1987,12027.957,14362.916,55093.676,29909.434,34018.645,561.8036,46010.92,46247.234,5992.0396,34233.457,68691.26,6375.483,6066.8794,5936.4214,NA,NA,59755.1,41754.273,NA,6247.147,77318.38,42201.844,28046.771,48971.855,23317.73,NA,30086.457,NA,2014.1487,2621.157,12339.325,NA,30364.047,25114.232,28325.26,31627.588,50747.973,NA,29526.424,39533.15,79520.61,11217.115,13762.59,2883.408,59221.56,29466.242,NA,33653.043,NA,2015.3638,4258.775,NA,41193.23,NA,NA,31958.072,63368.383,59031.22,NA,39332.65,NA,25586.592,15403.921,20067.078,NA,34596.18,25804.963,17893.303,4174.9756,47029.92,8280.494,51646.758,NA,52326.684,NA,40189.42,78414.55,23933.232,24530.686,1136.1177
